site_brom.id,site.x,trt.name,mu.scalar,k.scalar,intended.mu,intended.k,temporal.block,maxvol,leaf.number,mean.diam,catchment.area,turbidity.initial,oxygen.percent.initial,oxygen.conc.initial,ph.initial,chlorophyll.initial,bacteria.per.ml..initial,amoeba.per.ml.initial,algae.per.ml.initial,ciliates.per.ml.initial,flagellates.per.ml.initial,rotifers.per.ml.initial,leafpack1.species1.mass.initial,leafpack2.species1.mass.initial,leafpack1.species2.mass.initial,leafpack2.species2.mass.initial,co2.final,methane.final,turbidity.final,oxygen.percent.final,oxygen.conc.final,ph.final,chlorophyll.final,bacteria.per.ml.final,amoeba.per.ml.final,algae.per.ml.final,ciliates.per.ml.final,flagellates.per.ml.final,rotifers.per.ml.final,leafpack1.species1.mass.final,leafpack2.species1.mass.final,leafpack1.species2.mass.final,leafpack2.species2.mass.final,water.volume.final,fpom.final,n15.bromeliad.final,final.bromeliad.percentn,final.bromeliad.percentc,site.y,species1,species2,decomp,sample_size_species
argentina_23,argentina,mu0.6k2,0.6,2,2.58,0.11,a,185,28,56,826.15,542,6.1,1.9,5.53,NA,NA,NA,NA,NA,NA,NA,200,200,NA,NA,1.3092941,NA,28.4,18.2,7.2,5.67,78.62,NA,NA,NA,NA,NA,NA,70,70,NA,NA,35,NA,16.68630014026928,0.4274976912571137,NA,argentina,0.65,NA,0.65,1
argentina_21,argentina,mu0.8k2,0.8,2,3.45,0.11,b,290,30,78.5,969.47,282,1.7,0.9,6.35,NA,NA,NA,NA,NA,NA,NA,190,190,NA,NA,1.3934757999999998,NA,28.4,3.7,1.5,6.02,63.45,NA,NA,NA,NA,NA,NA,120,80,NA,NA,125,NA,34.46561326740416,0.46141302256764033,NA,argentina,0.4736842105263158,NA,0.4736842105263158,1
argentina_27,argentina,mu1k2,1,2,4.31,0.11,a,390,35,62.5,830,258,17.8,7.1,5.81,NA,NA,NA,NA,NA,NA,NA,180,240,NA,NA,1.3845203,NA,17.3,4.4,1.7,5.63,0.011,NA,NA,NA,NA,NA,NA,70,100,NA,NA,140,NA,11.239832543872286,0.5081647512314715,NA,argentina,0.5972222222222223,NA,0.5972222222222223,1
argentina_14,argentina,mu1.5k2,1.5,2,6.46,0.11,b,300,33,66,950.03,NA,2.6,1.1,6.57,NA,NA,NA,NA,NA,NA,NA,150,210,NA,NA,1.5009417999999999,NA,25.4,6.9,2.7,6.01,13.26,NA,NA,NA,NA,NA,NA,80,110,NA,NA,105,NA,45.85827785021102,0.4929746044912617,NA,argentina,0.4714285714285714,NA,0.4714285714285714,1
argentina_24,argentina,mu2k2,2,2,8.62,0.11,a,275,36,75,870.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,230,NA,NA,1.3164585,NA,26.2,2.5,0.9,5.9,0.011,NA,NA,NA,NA,NA,NA,50,90,NA,NA,120,NA,33.97467704226642,0.5764143173254995,NA,argentina,0.6480978260869565,NA,0.6480978260869565,1
argentina_18,argentina,mu2.5k2,2.5,2,10.77,0.11,b,245,32,73,1807.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,130,NA,NA,1.5564658999999998,NA,31.2,6.7,2.7,6.22,0.011,NA,NA,NA,NA,NA,NA,70,100,NA,NA,130,NA,36.34814993622793,0.47759709267279504,NA,argentina,0.4095022624434389,NA,0.4095022624434389,1
argentina_22,argentina,mu3k2,3,2,12.92,0.11,c,360,31,54.5,884.15,199,16.9,6.3,6.37,NA,NA,NA,NA,NA,NA,NA,160,150,NA,NA,1.5421371,NA,20.3,NA,NA,6.13,0.011,NA,NA,NA,NA,NA,NA,80,60,NA,NA,207,NA,52.831702923539666,0.4503333163951812,NA,argentina,0.55,NA,0.55,1
cardoso_DEC17,cardoso,mu3k0.5,3,0.5,22.67,0.1,a,1015,33,96,NA,43.67,NA,NA,5,-5.210159999999999,248828.2138144975,NA,NA,NA,NA,NA,232.8,216.70000000000002,NA,NA,NA,NA,246.9,NA,NA,5.3,56.8344,2977911.84919931,NA,NA,NA,NA,NA,185,160.39999999999998,NA,NA,527,310.8695652173911,5.2627696468035,0.6867387785435903,NA,cardoso,0.23256632207257577,NA,0.23256632207257577,1
cardoso_DEC36,cardoso,mu0.1k1,0.1,1,0.76,0.19,a,1150,35,106,NA,55.46,NA,NA,5,-1.39536,337122.09613577,NA,NA,NA,NA,NA,178.4,211.5,NA,NA,NA,NA,750,NA,NA,4.86666666666667,414.73199999999997,7504979.997308213,NA,NA,NA,NA,NA,142.9,158.79999999999998,NA,NA,566,242.00000000000009,14.925485024284812,0.6623788038412532,NA,cardoso,0.22408180411114295,NA,0.22408180411114295,1
cardoso_DEC54,cardoso,mu0.2k1,0.2,1,1.51,0.19,a,1225,38,105,NA,56.16,NA,NA,5.6,-3.12324,3298980.5121857496,NA,NA,NA,NA,NA,227.20000000000002,232.8,NA,NA,NA,NA,327,NA,NA,4.533333333333333,131.3352,5771209.217181397,NA,NA,NA,NA,NA,175.9,144.8,NA,NA,506.5,263.99999999999994,33.200943454785524,0.5370104579424528,NA,cardoso,0.3018995631866802,NA,0.3018995631866802,1
cardoso_DEC39,cardoso,mu0.4k1,0.4,1,3.02,0.19,a,945,39,99,NA,45.47,NA,NA,5.2,-4.912319999999999,834778.5237647638,NA,NA,NA,NA,NA,210.7,221.1,NA,NA,NA,NA,276.6,NA,NA,4.733333333333333,50.428799999999995,6991270.136529896,NA,NA,NA,NA,NA,164.20000000000002,161.8,NA,NA,532,109.99999999999933,4.96839477994282,0.6685168252993425,NA,cardoso,0.2444486803588305,NA,0.2444486803588305,1
cardoso_DEC22,cardoso,mu2.5k1,2.5,1,18.89,0.19,a,1040,29,63,NA,54.8,NA,NA,5.4,-2.2154399999999996,2408014.9723983575,NA,NA,NA,NA,NA,289.5,234.8,NA,NA,NA,NA,282.1,NA,NA,5.833333333333333,123.9708,7216018.200620411,NA,NA,NA,NA,NA,227.1,180.60000000000002,NA,NA,385,88.00000000000024,3.346944394178708,0.46054301013752563,NA,cardoso,0.22318939721601888,NA,0.22318939721601888,1
cardoso_DEC07,cardoso,mu0.4k2,0.4,2,3.02,0.39,a,948,28,89,NA,47.89,NA,NA,5.4,-4.816439999999999,505683.144203655,NA,NA,NA,NA,NA,235.1,259.29999999999995,NA,NA,NA,NA,309.1,NA,NA,5.133333333333333,59.8944,5819369.516629363,NA,NA,NA,NA,NA,175.6,200.7,NA,NA,737,412.5000000000003,5.1977249716084195,0.6404713200618879,NA,cardoso,0.23953842618193172,NA,0.23953842618193172,1
cardoso_DEC51,cardoso,mu0.6k2,0.6,2,4.53,0.39,a,1315,36,86.5,NA,51.74,NA,NA,5.6,-2.295,537790.0105022999,NA,NA,NA,NA,NA,237.3,239.3,NA,NA,NA,NA,678,NA,NA,4.8,410.856,10675533.044299385,NA,NA,NA,NA,NA,182.5,185.5,NA,NA,883,242.00000000000009,-1.5863608158277476,0.38469597507008024,NA,cardoso,0.22787685462004736,NA,0.22787685462004736,1
cardoso_DEC23,cardoso,mu1.5k2,1.5,2,11.33,0.39,a,1300,32,62,NA,56.84,NA,NA,5.2,-2.0420399999999996,890965.5397873922,NA,NA,NA,NA,NA,219.6,198.3,NA,NA,NA,NA,118.9,NA,NA,5.233333333333333,31.864799999999995,6878896.104484641,NA,NA,NA,NA,NA,164.6,157,NA,NA,762,461.99999999999955,4.626674935872321,0.5342478120167657,NA,cardoso,0.22936283546759478,NA,0.22936283546759478,1
cardoso_DEC53,cardoso,mu2k2,2,2,15.11,0.39,a,960,34,103,NA,49.4,NA,NA,5.6,-5.283599999999999,1404675.4005657085,NA,NA,NA,NA,NA,199.7,204.3,NA,NA,NA,NA,131.9,NA,NA,4.966666666666668,15.504,2953831.6994753177,NA,NA,NA,NA,NA,154.5,153.70000000000002,NA,NA,629,263.99999999999994,0.18322533164205623,0.5825593652378128,NA,cardoso,0.2370072485134946,NA,0.2370072485134946,1
cardoso_DEC35,cardoso,mu2.5k2,2.5,2,18.89,0.39,a,850,36,92,NA,56.24,NA,NA,5.7,-2.6050799999999996,473576.27790501027,NA,NA,NA,NA,NA,255.7,166.5,NA,NA,NA,NA,119.2,NA,NA,4.666666666666667,30.7632,666217.475696879,NA,NA,NA,NA,NA,195.39999999999998,133.89999999999998,NA,NA,564,527.9999999999999,4.77750449764347,0.550632593546345,NA,cardoso,0.21580951307193005,NA,0.21580951307193005,1
cardoso_DEC31,cardoso,mu0.2k0.5,0.2,0.5,1.51,0.1,b,855,32,99,NA,34.41,NA,NA,5.9,-4.16772,1228087.635923162,NA,NA,NA,NA,NA,218.29999999999998,219.9,NA,NA,NA,NA,434,NA,NA,5,172.58399999999997,7633407.462502792,NA,NA,NA,NA,NA,171.5,178.5,NA,NA,448,263.99999999999994,12.618883275418158,0.5131443670538557,NA,cardoso,0.20132563483547367,NA,0.20132563483547367,1
cardoso_DEC32,cardoso,mu0.4k0.5,0.4,0.5,3.02,0.1,b,975,31,97,NA,37.54,NA,NA,5.4,-3.5169599999999996,650164.0425475565,NA,NA,NA,NA,NA,222.39999999999998,222.3,NA,NA,NA,NA,239.1,NA,NA,4.766666666666667,40.3512,4478907.848660944,NA,NA,NA,NA,NA,179.4,170.8,NA,NA,482,220.0000000000002,-1.03387860811599,0.4289784704511235,NA,cardoso,0.21250711981022463,NA,0.21250711981022463,1
