site_brom.id,site,trt.name,mu.scalar,k.scalar,intended.mu,intended.k,temporal.block,maxvol,leaf.number,mean.diam,catchment.area,turbidity.final,oxygen.percent.final,oxygen.conc.final,ph.final,chlorophyll.final,water.volume.final,fpom.final,mean.depth,max.depth,min.depth,amplitude,net_fluc,tot_fluc,sd.depth,cv.depth,wetness,prop.overflow.days,prop.driedout.days,long_dry,long_wet,n_driedout,n_overflow,last_dry,last_wet,predator_engulfer_total_abundance,predator_engulfer_total_biomass,predator_engulfer_total_taxa,predator_piercer_total_abundance,predator_piercer_total_biomass,predator_piercer_total_taxa,prey_filter.feeder_total_abundance,prey_filter.feeder_total_biomass,prey_filter.feeder_total_taxa,prey_gatherer_total_abundance,prey_gatherer_total_biomass,prey_gatherer_total_taxa,prey_piercer_total_abundance,prey_piercer_total_biomass,prey_piercer_total_taxa,prey_scraper_total_abundance,prey_scraper_total_biomass,prey_scraper_total_taxa,prey_shredder_total_abundance,prey_shredder_total_biomass,prey_shredder_total_taxa,predator_biomass,prey_biomass,predator_abundance,prey_abundance,Odonata_bio,cv_max_temp,cv_mean_temp,cv_min_temp,max_temp,mean_temp,min_temp,sd_max_temp,sd_mean_temp,sd_min_temp,pred_prey_biom_ratio,pred_prey_abund_ratio
frenchguiana_49,frenchguiana,mu2.5k1,2.5,1,20.4,0.31,c,310,11,63,1027,NA,60.150000000000006,NA,4.395,456.4,161,489.4400000000033,71.69166666666666,94.5,44.5,50,-1.5,402.5,15.091957146258357,20.347815098077096,0.7565026850786345,0.24166666666666667,0,0,6,0,14.5,65,1,1,0.0315,1,5,0.2555,1,14,0.8103,2,0,0,0,0,0,0,110,13.347,2,2,1.1375,1,0.28700000000000003,15.294799999999999,6,126,0,2.69798009756008,1.9405007382057002,3.686434131328556,26.257575757575758,24.136994949494955,22.303030303030305,0.7084241680411543,0.4683785651756222,0.8221865214114598,0.01876454742788399,0.047619047619047616
frenchguiana_50,frenchguiana,mu3k1,3,1,24.48,0.31,a,286,10,54,1116,NA,52.099999999999994,NA,5.09,183.35,147,148.46999999999997,78.85833333333333,100,45,55,35.5,239.5,15.052565224055858,19.15847461934718,0.7875434898969624,0.25,0,0,13.5,0,15,65,1,4,0.4145,2,3,0.1533,1,5,0.24380000000000002,2,4,0.09999999999999999,2,0,0,0,98,19.0566,2,5,1.6175,2,0.5678,21.0179,7,112,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02701506810861218,0.0625
frenchguiana_51,frenchguiana,mu0.1k2,0.1,2,0.82,0.61,b,200,13,38,727,NA,8.8,NA,4.63,NA,1.5,6.299999999999972,32.141666666666666,52.5,0,52.5,-10,492,12.338790530547929,45.12636799280818,0.5983735380116959,0.25833333333333336,0.06666666666666667,5,5.5,4,15.5,40,6,2,0.063,1,27,1.3736,2,0,0,0,1,0.03,1,1,8e-4,1,65,4.4613,2,6,2.595,2,1.4365999999999999,7.0870999999999995,29,73,0,2.966545114060465,1.8940960824179225,3.6538043294022744,26.12121212121212,23.881313131313135,22,0.7748975419151881,0.45233501645015894,0.8038369524685004,0.20270632557745763,0.3972602739726027
frenchguiana_82,frenchguiana,mu0.2k2,0.2,2,1.63,0.61,a,154,15,71.5,961,NA,7.3,NA,4.33,980,15,42.9999999999997,27.708333333333336,55.5,2.5,53,-7,480,15.944987617448241,61.65769746671977,0.5040663630448927,0.16666666666666666,0.18333333333333332,5,4,11,10,5,23,6,0.189,1,2,0.1022,1,8,0.3375,2,3,0.09,1,0,0,0,96,7.0791,2,14,3.0575,2,0.2912,10.5641,8,121,0,2.9801510127248734,1.938633448709432,3.693850743659921,26.303030303030305,23.94191919191919,22.015151515151516,0.783870023953088,0.46414605371752843,0.8132068379602827,0.027565055234236708,0.06611570247933884
frenchguiana_52,frenchguiana,mu0.4k2,0.4,2,3.26,0.61,a,154,11,66,908,NA,38.15,NA,5.595000000000001,417.2,62.5,206.24999999999946,61.00833333333333,74,43,31,9,275,7.866224268950241,12.686371253466362,0.8308234786893324,0.475,0,0,8.5,0,28.5,65,1,1,0.0315,1,8,0.4088,1,11,0.6564,2,4,0.12,1,0,0,0,62,9.6624,2,2,0.32,1,0.4403,10.7588,9,79,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04092463843551326,0.11392405063291139
frenchguiana_53,frenchguiana,mu0.6k2,0.6,2,4.9,0.61,c,312,14,78,1295,NA,22.35,NA,4.390000000000001,327.72,99,280.1700000000021,63.608333333333334,75.5,49,26.5,1,265,5.7689992096291185,9.078344657524033,0.8425847953216374,0.35,0,0,7.5,0,21,65,1,11,0.34650000000000003,1,3,0.1472,2,15,0.6675,3,25,0.73,2,3,0.0024000000000000002,1,65,7.9830000000000005,2,3,2.115,1,0.49370000000000003,11.497900000000001,14,111,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04293827568512511,0.12612612612612611
frenchguiana_54,frenchguiana,mu0.8k2,0.8,2,6.53,0.61,b,190,13,75.5,999,NA,59.800000000000004,NA,5.21,755.71,60,177.00000000000048,53.63333333333334,70,38,32,4,308,6.723102233056788,12.733234358282079,0.7656658496732026,0.16666666666666669,0,0,2.5,0,10,65,1,1,0.0675,1,8,0.4088,1,10,0.3851,2,0,0,0,1,8e-4,1,186,11.3088,2,7,4.39,1,0.4763,16.084699999999998,9,204,0.0675,2.8895394540799524,2.026419578149326,3.8531050042744153,26.12121212121212,23.834595959595966,21.893939393939394,0.7547827301263391,0.4829889188980408,0.8435964744206864,0.02961199151989158,0.04411764705882353
frenchguiana_85,frenchguiana,mu1k2,1,2,8.16,0.61,b,208,15,57.5,894,NA,18.6,NA,5.045,644.58,37,200.53999999999928,51.625,69,24.5,44.5,-9.5,463.5,9.348072065533017,18.125121795097193,0.7466744087837838,0.2,0,0,3,0,12,65,4,3,0.1353,2,9,0.4477,2,3,0.1131,1,3,0.09,1,1,8e-4,1,28,1.6833,2,3,1.2975,1,0.583,3.1847000000000003,12,38,0.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1830627688636292,0.3157894736842105
frenchguiana_57,frenchguiana,mu1.5k2,1.5,2,12.24,0.61,b,188,16,84,1299,NA,47.25,NA,5.609999999999999,294,56,155.68000000000026,36.9,72,9.5,62.5,-16,318,14.285321620139563,41.15301849323992,0.511241880506785,0.08333333333333334,0.016666666666666666,2,4.5,2,5,40,9,2,0.063,1,1,0.0511,1,4,0.0628,1,0,0,0,7,0.0056,1,139,22.329900000000002,2,4,1.4575,1,0.11410000000000001,23.855800000000002,3,154,0,3.5079440467265117,2.080480774931715,3.8943647923840223,26.545454545454547,23.73484848484848,21.59090909090909,0.931199692403765,0.49379895968644405,0.8408287619920047,0.004782903947886887,0.01948051948051948
frenchguiana_72,frenchguiana,mu2k2,2,2,16.32,0.61,a,219,13,92.5,1212,NA,51.849999999999994,NA,5.1,466.66,90,161.99999999999815,46.108333333333334,67.5,28.5,39,-12,382,8.086578321124325,17.67276537862158,0.6797865316901408,0.125,0,0,2.5,0,7.5,65,3,1,0.0315,1,7,0.3577,1,2,0.1294,1,11,0.32999999999999996,1,2,0.0016,1,106,17.3547,2,11,5.8475,1,0.3892,23.6632,8,132,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016447479630819162,0.06060606060606061
